relative_humidity_2m,wind_speed_10m,temperature_2m,Cluster,PCA1,PCA2
95.0,2.9,-0.4,1,1.8131332980565742,-0.002766720127668195
78.0,3.2,2.0,1,0.7272136363051765,-0.040303476046343545
69.0,3.1,3.7,1,0.1339497559000362,-0.13645878216723883
59.0,3.5,4.8,2,-0.4938217267900812,-0.09622981601881148
55.0,3.1,3.5,2,-0.565319861357521,-0.08387469769284603
52.0,4.4,4.0,2,-0.8447793603858781,0.14738111931501355
63.0,5.4,1.9,1,-0.17524867177210396,0.43693896225444384
79.0,7.7,-0.9,1,0.7224132842354916,1.0071361353701118
79.0,5.6,0.5,1,0.7446752318812704,0.5141606982552736
79.0,6.4,0.4,1,0.7005831143882735,0.6757714731411872
68.0,6.6,1.4,1,0.04298534204900072,0.6860449972667583
53.0,11.3,2.8,0,-1.1462162597008618,1.5587789401552496
63.0,11.9,2.2,0,-0.6249224847414618,1.6827902816036013
77.0,8.1,1.0,1,0.43787237320124434,0.9758744994529567
86.0,6.4,-0.0,1,1.0913079717086294,0.6796979597124809
94.0,4.5,-0.7,1,1.6820452416135967,0.32939115490235676
88.0,6.8,1.3,1,1.060562443885471,0.6731280803795149
89.0,10.1,0.8,1,0.9369950489431843,1.3421681498288944
93.0,8.7,-0.6,1,1.3480772327155932,1.1429671815392903
91.0,8.7,-0.6,1,1.245833570324995,1.1487524205322899
85.0,8.4,-0.4,1,0.9422828613883112,1.0956830750663118
82.0,9.0,-0.5,1,0.7579027821172452,1.2270799411606708
80.0,8.4,-0.6,1,0.7031097248884463,1.1222335840722066
78.0,7.2,-0.5,1,0.6711132436065009,0.8886245136171848
74.0,6.5,0.2,1,0.45487121198449465,0.721767865787609
71.0,12.6,0.9,0,-0.15488506990836637,1.874338686017366
66.0,16.2,2.1,0,-0.7445059152855521,2.516329125418459
55.0,18.4,3.2,0,-1.541097015441421,2.9094766165928707
53.0,13.5,3.4,0,-1.339377168016863,1.9503261456766543
50.0,14.0,3.6,0,-1.5418725105989612,2.044146010845392
54.0,13.2,2.6,0,-1.202894961203298,1.9374455213521575
74.0,7.7,-0.1,1,0.40106005035247244,0.9732495867590264
84.0,7.2,-1.0,1,1.0189342794698728,0.9014873254466761
87.0,8.7,-0.9,1,1.0660002747587447,1.178454015803383
89.0,9.2,-1.1,1,1.1519861271064036,1.2819856065364141
90.0,8.0,-1.8,1,1.339099217316879,1.0880483236854772
92.0,8.0,-2.4,1,1.4906509381373698,1.1185253192626656
93.0,5.9,-3.6,1,1.7777029701746485,0.7797936124554763
89.0,5.6,-4.2,1,1.6421400015350867,0.7692886740900825
86.0,5.0,-4.0,1,1.5115710838960423,0.6492038192130241
91.0,3.7,-2.7,1,1.7453500700253202,0.3033760595016008
90.0,2.9,-2.3,1,1.7136663271080714,0.12652678682709287
95.0,2.5,-2.0,1,1.970776517485277,0.016149037497392115
100.0,0.5,-1.9,1,2.348942981801738,-0.3932754385573436
100.0,3.7,-2.2,1,2.1643565020914357,0.2471239552246128
100.0,5.5,-4.2,1,2.2110189105872915,0.7180239759880581
98.0,6.2,-5.0,1,2.1287479647758185,0.9082800465583306
97.0,7.3,-3.4,1,1.874211552824418,1.0283780939134584
84.0,4.7,-2.1,1,1.2728015341891932,0.4818209978121806
70.0,3.0,-0.2,1,0.5121127327935504,0.07690723940195687
60.0,2.4,1.2,1,-0.07492512007237255,-0.09545374813997934
55.0,2.0,2.4,2,-0.40299532929299725,-0.23129865435996447
67.0,2.2,1.7,1,0.2549151814109724,-0.1848123807050215
66.0,2.1,2.0,1,0.1856780869046411,-0.21949676213414293
70.0,1.9,1.3,1,0.46076901166187356,-0.22765306706930963
75.0,4.7,0.4,1,0.6072548099736154,0.35676192923822814
80.0,3.0,1.0,1,0.9247149278867571,-0.02454342470341687
85.0,2.5,1.1,1,1.2047999036445076,-0.14227964615024855
93.0,4.7,-0.0,1,1.560319810442262,0.3288696013480245
92.0,5.7,-1.1,1,1.534208427329292,0.5927018206284718
90.0,4.4,-0.3,1,1.4512246437830527,0.297340926201037
84.0,3.0,0.3,1,1.1867283208361614,0.006192037642470014
81.0,1.8,0.3,1,1.1118280180972324,-0.21848070755435411
77.0,2.9,0.1,1,0.8518502878496125,0.019081902000837505
95.0,1.9,0.6,1,1.7963408597125603,-0.2576626141499178
92.0,3.1,1.0,1,1.5316381363264329,-0.03980897502088711
93.0,2.9,1.2,1,1.5794014798529294,-0.0936807733218368
95.0,5.7,1.6,1,1.465687657980673,0.42084390657312615
92.0,8.0,2.0,1,1.1290585096514913,0.8526022657479532
91.0,7.7,2.2,1,1.0811169566913035,0.785069822799476
92.0,6.7,2.0,1,1.2140624664023738,0.5998057784211029
93.0,4.2,2.0,1,1.4286534451955237,0.11076606791142946
93.0,4.3,2.2,1,1.4056786598149786,0.1181245400285602
92.0,5.6,2.8,1,1.2202448134389048,0.3375514122817224
94.0,2.6,2.6,1,1.5350874724235548,-0.23952292440368955
90.0,4.0,5.4,1,1.00895315231473,-0.12493383677785763
89.0,6.0,4.3,1,0.9174541101626199,0.3333572189078593
86.0,6.1,5.0,1,0.7000237825046005,0.31917502070599935
93.0,5.6,3.6,1,1.2056225667276805,0.2863091466916384
92.0,5.4,3.1,1,1.2086683160317866,0.28052852771557457
90.0,6.3,2.8,1,1.0722297897209083,0.4794578367584106
86.0,7.9,3.6,1,0.6973781325705638,0.7538128068992568
84.0,8.5,4.1,1,0.5148118260649043,0.8460548189269278
84.0,9.8,4.5,1,0.3969358303607602,1.0746764832069862
86.0,8.8,4.2,1,0.5892211810054451,0.8925635250938113
86.0,10.2,4.3,0,0.4894604486123334,1.1587621902994902
84.0,13.1,4.9,0,0.1482845165783357,1.6922158202975832
84.0,11.2,4.6,0,0.2971750979676486,1.3408751484126653
85.0,9.8,5.8,1,0.34122353495795893,0.9932156888084124
84.0,8.0,5.3,1,0.44888953872468945,0.6763009315839169
88.0,6.7,3.8,1,0.8616509663314996,0.5025895526965377
90.0,3.8,4.0,1,1.137082820458974,-0.07921372339513941
95.0,5.0,3.1,1,1.38818887323334,0.1940671346639674
96.0,1.5,2.2,1,1.7421295987104688,-0.4350380603956936
94.0,4.5,3.2,1,1.3615428618192955,0.09368663019613438
94.0,6.4,3.2,1,1.237306309644929,0.46315841936614643
90.0,8.5,4.6,1,0.7804527645451221,0.7984805731394392
